recommendation_id,created_at,source,league,scheduled_start,home_player,away_player,recommended_selection,acceptable_markets,max_spread,min_american_odds,ideal_american_odds,expires_at,confidence,notes
rec_001,2026-05-13 12:41,friend,Esoccer H2H GG League - 8 mins play,2026-05-13 13:01,Newcastle UTD (VIRUS),Arsenal (CRUSADER),Arsenal (CRUSADER),"[""ML_3WAY"",""SPREAD_2WAY""]",-0.5,,210,2026-05-13 13:01:30,high,"Friend said 1:01, Crusader ML -0.5. Screenshot: Arsenal CRUSADER ML +210, spread +0.5/-154 pre-live."
rec_002,2026-05-13 13:38,friend,Esoccer H2H GG League - 8 mins play,2026-05-13 13:50,Spurs (CRUSADER),Newcastle UTD (ALIBI),Spurs (CRUSADER),"[""ML_3WAY"",""SPREAD_2WAY""]",-0.5,,-135,2026-05-13 13:50:30,high,"Settled screenshot later: two $550 bets both won (ML and -0.5, ~-135)."
rec_003,2026-06-10 13:21,friend,Esoccer H2H GG League - 8 mins play,2026-06-10 13:20,Spurs (PHENOM),Unknown,Spurs (PHENOM),"[""ML_3WAY""]",,,,2026-06-10 13:21:30,medium,"Live > Soccer > scroll > Spurs PHENOM ML, $1000, games now. App update issue — may have missed."
rec_004,2026-06-11 13:28,friend,Esoccer H2H GG League - 8 mins play,2026-06-11 13:31,Ambassador,Alibi,Ambassador,"[""ML_3WAY"",""SPREAD_2WAY""]",-0.5,,,2026-06-11 13:31:30,high,"Ambassador vs Alibi 1:31 PM, AMBASSADOR ML spread up to -0.5. Place $1000 when live."
rec_005,2026-06-23 10:25,friend,Esoccer H2H GG League - 8 mins play,2026-06-23 10:35,Aston Villa (PROPHET),Spurs (ALIBI),Aston Villa (PROPHET),"[""ML_3WAY""]",,,160,2026-06-23 10:35:30,high,"Screenshot: PROPHET ML +160, 10:35 ET, MAX WAGER $78.15 seen on $1000 attempt."
rec_006,2026-06-23 13:13,friend,Esoccer H2H GG League - 8 mins play,2026-06-23 13:20,Norway (ALIBI),Portugal (BLITZ),Portugal (BLITZ),"[""ML_3WAY"",""SPREAD_2WAY""]",-0.5,,100,2026-06-23 13:20:30,high,Screenshot: BLITZ ML +100 and -0.5 +102. Place after start; line changes when live; to win $200.
rec_007,2026-06-24 12:29,friend,Esoccer H2H GG League - 8 mins play,2026-06-24 13:20,Unknown,Unknown,Unknown,[],,,,2026-06-24 13:20:30,medium,"Friend: '1:20, text me at 1:15 for the line.' Line withheld until near kickoff."
rec_008,2026-06-30 13:20,friend,Esoccer H2H GG League - 8 mins play,2026-06-30 13:46,Tottenham (BLITZ),Arsenal (ALIBI),Tottenham (BLITZ),"[""ML_3WAY"",""SPREAD_2WAY""]",-0.5,,,2026-06-30 13:46:30,high,"BLITZ ML, spread up to -0.5; later 'spread doesn't matter, either or.'"
rec_009,2026-07-01 12:40,friend,Esoccer H2H GG League - 8 mins play,2026-07-01 13:01,Unknown,Unknown,Unknown,[],,,,2026-07-01 13:01:30,medium,"Friend asked 1:01 pm, later 'can you run it'. Need exact slip from bet history."
